epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.64456,1.53093,4.35477,1.22267,0.00333,0.9902,0.22993,0.16922,0.90452,3.74015,0.90557,0.00012,0.00012,0.00012
2,4.86486,1.27474,3.35031,1.09801,0.00337,1,0.92824,0.53678,0.91437,3.38107,0.85754,0.000257426,0.000257426,0.000257426
3,6.0961,1.1022,2.24455,1.03164,0.00333,0.9902,0.74816,0.40849,0.9013,3.49442,0.84038,0.00039208,0.00039208,0.00039208
4,7.37216,1.05326,1.97039,0.97707,0.00333,0.9902,0.31387,0.16939,0.7603,3.49583,0.84761,0.000523962,0.000523962,0.000523962
5,8.56051,0.99991,1.91739,0.99783,0.00333,0.9902,0.01105,0.00721,1.0363,3.68873,0.91939,0.000653072,0.000653072,0.000653072
6,9.73323,1.00262,1.74381,0.9768,0.0033,0.98039,0.0143,0.01092,0.89408,3.62518,0.89319,0.00077941,0.00077941,0.00077941
7,10.9291,0.97196,1.74372,0.98827,0.0033,0.98039,0.01584,0.01227,0.87074,3.58344,0.93823,0.000902976,0.000902976,0.000902976
8,12.0854,1.02247,1.70101,0.99319,0.01373,0.84314,0.0279,0.01853,1.0932,3.48348,1.00786,0.00102377,0.00102377,0.00102377
9,13.2764,0.94197,1.41396,0.97716,0.0637,0.47059,0.05886,0.04511,0.87444,3.26192,0.88941,0.00114179,0.00114179,0.00114179
10,14.4735,0.93585,1.42667,0.96381,1,0.81452,0.98506,0.77267,0.87648,2.45506,0.89735,0.00125704,0.00125704,0.00125704
11,15.6582,0.97092,1.44453,0.99925,0.98735,0.76541,0.93072,0.75133,0.81183,2.47425,0.88755,0.00136952,0.00136952,0.00136952
12,16.8432,1.00868,1.40149,0.98382,0.98267,0.55605,0.9662,0.69651,1.00004,2.56046,0.95096,0.00147923,0.00147923,0.00147923
13,17.9995,1.00455,1.39106,1.02149,0.95532,0.83848,0.96902,0.7377,0.93508,2.29535,0.92688,0.00158616,0.00158616,0.00158616
14,19.2923,0.96884,1.26351,0.97991,0.99696,0.95098,0.98382,0.78723,0.80074,1.56843,0.87149,0.00169032,0.00169032,0.00169032
15,20.4827,0.92512,1.2691,0.96087,0.98916,0.96078,0.98437,0.75508,0.8409,1.26283,0.91044,0.0017228,0.0017228,0.0017228
16,21.6516,0.95074,1.31417,0.9678,0.96561,0.98039,0.98704,0.74957,0.83733,1.0859,0.91475,0.001703,0.001703,0.001703
17,22.8155,0.95987,1.19058,0.92341,0.96334,0.96078,0.98701,0.75269,0.90792,1.04566,0.93275,0.0016832,0.0016832,0.0016832
18,23.9801,1.03135,1.31044,0.98482,0.95625,0.95098,0.98608,0.71314,0.94457,1.14155,0.94331,0.0016634,0.0016634,0.0016634
19,25.152,0.97543,1.13154,0.991,0.95484,0.97059,0.98223,0.68329,0.99094,0.98444,0.94683,0.0016436,0.0016436,0.0016436
20,26.3218,0.90847,1.11386,1.01276,0.93156,0.96078,0.98411,0.76273,0.76687,0.8651,0.86575,0.0016238,0.0016238,0.0016238
21,27.4869,0.90582,1.06106,0.95499,0.92445,0.95966,0.97885,0.77548,0.74681,0.89818,0.87702,0.001604,0.001604,0.001604
22,28.7621,0.89495,1.05157,0.95545,0.93278,0.95238,0.9752,0.7786,0.74704,0.92994,0.89135,0.0015842,0.0015842,0.0015842
23,29.9205,0.93145,1.11414,0.97138,0.97139,0.96078,0.9895,0.7937,0.75554,0.82243,0.87815,0.0015644,0.0015644,0.0015644
24,31.1057,0.91074,1.02513,0.93987,0.98949,0.96078,0.99316,0.78815,0.77513,0.77876,0.88779,0.0015446,0.0015446,0.0015446
25,32.2475,0.91221,0.99145,0.94537,0.99012,0.98254,0.9949,0.80216,0.745,0.77178,0.88428,0.0015248,0.0015248,0.0015248
26,33.4241,0.7667,0.89765,0.92385,0.99017,0.98776,0.9949,0.84639,0.63907,0.74207,0.85755,0.001505,0.001505,0.001505
27,34.6066,0.82489,0.95837,0.95752,0.98019,0.97006,0.98901,0.80857,0.74124,0.73841,0.87689,0.0014852,0.0014852,0.0014852
28,35.8153,0.86431,0.92771,0.933,0.98869,0.97059,0.99423,0.82647,0.7036,0.73086,0.84997,0.0014654,0.0014654,0.0014654
29,36.9729,0.89764,0.92126,0.95086,0.99769,0.97059,0.99461,0.77769,0.75446,0.72947,0.8481,0.0014456,0.0014456,0.0014456
30,38.1516,0.80868,0.82606,0.91467,0.99804,0.98039,0.9949,0.8079,0.69888,0.7088,0.83493,0.0014258,0.0014258,0.0014258
31,39.4457,0.80776,0.80775,0.91257,0.97831,0.9902,0.99372,0.83322,0.64854,0.66297,0.84459,0.001406,0.001406,0.001406
32,40.624,0.74651,0.83617,0.92103,0.99855,0.9902,0.995,0.84983,0.63373,0.65405,0.83595,0.0013862,0.0013862,0.0013862
33,41.7869,0.76585,0.79266,0.92392,0.99845,0.9902,0.995,0.85797,0.61065,0.64138,0.84069,0.0013664,0.0013664,0.0013664
34,42.9741,0.76475,0.82142,0.92607,0.99979,0.9902,0.995,0.8652,0.60256,0.61005,0.8274,0.0013466,0.0013466,0.0013466
35,44.1787,0.76773,0.80115,0.90465,0.99887,0.9902,0.995,0.83474,0.67903,0.59678,0.83457,0.0013268,0.0013268,0.0013268
36,45.3547,0.72929,0.73562,0.87357,0.999,0.9902,0.995,0.85676,0.61297,0.6223,0.82469,0.001307,0.001307,0.001307
37,46.5303,0.80564,0.84073,0.95716,0.99865,0.9902,0.995,0.86405,0.619,0.62926,0.82387,0.0012872,0.0012872,0.0012872
38,47.7051,0.69967,0.74017,0.92961,0.99914,0.9902,0.995,0.86638,0.61942,0.6256,0.82724,0.0012674,0.0012674,0.0012674
